Hotel_ID,Hotel_Name,City,Hotel_Facilities,Country,Latitude,Longitude,Point_of_Interest,Property_Type,Room_Count,Room_Type,Goibibo_Rating,State,Existence_of_Airport,Hotel_Star_Rating,MMT_Rating,Free_Internet,Gym,Internet_Access,Restaurant,Room_Service,Spa,Swimming_Pool
50,Club O7 Service Apartment,Ahmedabad,Room Service,India,23.0029767,72.453774,1,Service Apartment,1,Deluxe Room,4,Gujarat,0,1,4,0,0,0,0,1,0,0
51,Coco Heritage Home,Goa,Room Service|Swimming Pool|Restaurant|Free Internet,India,15.56920884,73.75346492,5,Hotel,2,Deluxe Room,4,Goa,1,1,4,1,0,0,1,1,0,1
52,Cocobay Resort,Kumarakom,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,9.618164197,76.42745912,2,Resort,20,Suite Room,4.4,Kerala,0,4,4.4,1,1,1,1,1,1,1
53,Coconut Grove,Goa,Room Service|Internet Access|Swimming Pool|Restaurant,India,15.29506116,73.9099806,13,Resort,38,Deluxe Room,4.3,Goa,0,3,4.2,0,0,1,1,1,0,1
54,Coelho Guest House,Goa,Room Service,India,15.2993265,74.123996,2,Guest House,7,Standard AC Room,4,Goa,0,1,4,0,0,0,0,1,0,0
55,Coffee Land Homestay,Chikmagalur,Room Service|Internet Access|Free Internet,India,13.161738,75.4606903,1,Homestay,2,Standard Room,2.8,Karnataka,0,1,2.6,1,0,1,0,1,0,0
56,Coffee Terrain,Chikmagalur,Room Service,India,13.315258,75.7754018,2,Homestay,3,Standard Room,3.8,Karnataka,0,1,5,0,0,0,0,1,0,0
57,Colonia De Braganza Resort,Goa,Room Service|Internet Access|Swimming Pool|Restaurant|Free Internet,India,15.2993265,74.123996,2,Resort,12,Standard AC Room,2.9,Goa,0,3,3.5,1,0,1,1,1,0,1
58,Colors Apart Hotel,Chennai,Room Service|Internet Access|Gym/Spa|Restaurant,India,13.0361426,80.2779054,13,Resort,10,Double Beded Room,4.2,Tamil Nadu,1,1,4.2,0,1,1,1,1,1,0
59,Comfort Inn Sunset,Ahmedabad,Room Service|Internet Access|Gym/Spa|Restaurant,India,23.08100049,72.61718224,14,Hotel,10,Deluxe Room,4.4,Gujarat,1,3,4.1,0,1,1,1,1,1,0
60,Coorg Regency,Coorg,Room Service|Restaurant|Free Internet,India,12.4181883,75.7437883,14,Hotel,28,Deluxe Triple Bed Non AC Room,3.3,Karnataka,0,1,3.4,1,0,0,1,1,0,0
61,Corbett Adventure Resort,Corbett,Room Service|Swimming Pool|Restaurant,India,29.3067666,79.18556029,6,Resort,24,Deluxe Village Huts,4,Uttarakhand,0,4,4.2,0,0,0,1,1,0,1
62,Corbett Machaan Resort,Corbett,Room Service|Swimming Pool|Restaurant,India,29.41435802,79.14210806,3,Resort,14,AC Luxury Cottage,4.5,Uttarakhand,1,3,4.4,0,0,0,1,1,0,1
63,Corbett Suman Grand,Corbett,Room Service|Swimming Pool|Restaurant,India,29.480975,79.1466283,4,Resort,44,Luxury Room,4,Uttarakhand,1,4,4,0,0,0,1,1,0,1
64,Corporate Inn,Ranchi,Room Service|Restaurant,India,23.3507855,85.3069244,2,Guest House,10,Executive Room,1,Jharkhand,0,1,1,0,0,0,1,1,0,0
65,Corporate Residency,Ahmedabad,Room Service,India,23.022505,72.5713621,2,Hotel,13,Super Deluxe,5,Gujarat,1,1,3.5,0,0,0,0,1,0,0
66,Country Club Valley Vista,Kodaikanal,Room Service|Restaurant,India,10.24580289,77.53127754,6,Resort,60,Studio Room,3.7,Tamil Nadu,0,3,3.8,0,0,0,1,1,0,0
67,Country Side Resort,Pushkar,Room Service|Internet Access|Swimming Pool|Restaurant,India,26.48253557,74.55813388,4,Resort,48,Deluxe Room,4.5,Rajasthan,1,3,4.4,0,0,1,1,1,0,1
68,Country Spa Kuteeram,Hyderabad,Room Service,India,17.5392302,78.9481657,1,Resort,12,Standard AC Room,3.7,Andhra Pradesh,0,1,2.5,0,0,0,0,1,0,0
69,Cuba Baga,Goa,Room Service|Internet Access|Restaurant,India,15.55687705,73.75568641,5,Hotel,14,Deluxe Non AC Room,3.8,Goa,1,1,4,0,0,1,1,1,0,0
70,Darbar Home Stay,Udaipur,Room Service,India,24.5562524,73.6962948,9,Homestay,1,Standard Room,4,Rajasthan,1,1,4,0,0,0,0,1,0,0
71,Davanam Sarovar Portico Suites,Bangalore,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,12.92167664,77.62095642,12,Hotel,265,Executive Suite,4.7,Karnataka,0,4,4.6,1,1,1,1,1,1,1
72,De Regency,Pelling,Room Service|Restaurant,India,27.3019861,88.2383218,3,Hotel,24,Super Deluxe,4.1,Sikkim,0,3,4.2,0,0,0,1,1,0,0
73,Dean Dale Cottage,Thekkady,Room Service,India,9.6031088,77.161458,0,Homestay,7,Budget Room,2,Kerala,0,1,2,0,0,0,0,1,0,0
74,Deccan Plaza,Chennai,Room Service|Internet Access|Gym/Spa|Restaurant,India,13.04655127,80.26674683,20,Hotel,178,Deccan Superior Room,3.8,Tamil Nadu,0,3,4,0,1,1,1,1,1,0
75,Deep Hotel,Bahadurgarh,Room Service,India,28.6924464,76.9239727,1,Hotel,4,Standard Room,4,Haryana,1,1,4,0,0,0,0,1,0,0
76,Delight Hotels Sushanta Awaas,Gangtok,Room Service|Internet Access|Restaurant|Free Internet,India,27.3242367,88.611545,9,Hotel,13,Standard Room (Double Sharing),3.7,Sikkim,1,1,4,1,0,1,1,1,0,0
77,Deltin Palms Riverfront,Goa,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,15.50899417,73.84325398,10,Resort,27,Executive Suite,4,Goa,1,4,4,0,1,1,1,1,1,1
78,Deolo Cliff Eco Resort,Kalimpong,Room Service|Restaurant,India,27.05998691,88.46999026,4,Resort,7,Deluxe Double Room,3.6,West Bengal,1,1,4.7,0,0,0,1,1,0,0
79,Dev Lok International,Kasol,Room Service,India,32.01038525,77.31692252,1,Hotel,26,Three Beded Room,2.8,Himachal Pradesh,0,1,2.6,0,0,0,0,1,0,0
80,Devonshire Greens,Munnar,Room Service|Internet Access|Gym/Spa|Restaurant|Free Internet,India,10.04923818,77.0567164,2,Resort,16,Valley View Room,4.6,Kerala,1,4,4.4,1,1,1,1,1,1,0
81,Discovery Village Nandi Foot Hills,Bangalore,Room Service,India,13.25789806,77.71641408,3,Resort,5,AC Cottage,3.5,Karnataka,1,1,3.5,0,0,0,0,1,0,0
82,Divine Bliss Beach Resort,Varkala,Room Service|Internet Access|Restaurant,India,8.742624304,76.69935119,3,Resort,9,Deluxe AC cottage,5,Kerala,1,2,2.7,0,0,1,1,1,0,0
83,DM Bluemoon Comforts,Bangalore,Room Service,India,12.93758202,77.62541199,3,Hotel,4,Premium Room,4,Karnataka,0,2,4,0,0,0,0,1,0,0
84,Dolphin Resort,Havelock,Room Service,India,11.7400867,92.6586401,1,Resort,10,Deluxe Room,4.4,Andaman and Nicobar Islands,0,1,4.3,0,0,0,0,1,0,0
85,Dom Pedros Haven,Goa,Room Service|Internet Access|Swimming Pool|Restaurant,India,15.3207155,73.9022469,4,Resort,6,Non AC Room,4,Goa,0,2,4.1,0,0,1,1,1,0,1
86,Doodle Rack,Jaipur,Room Service,India,26.9124336,75.7872709,7,Hostel,5,Studio Room,4,Rajasthan,1,3,4,0,0,0,0,1,0,0
87,Dream World Resort,Indore,Room Service|Gym/Spa|Swimming Pool|Restaurant,India,22.7372619,75.7728383,2,Resort,11,Super Cottages,3.6,Madhya Pradesh,1,1,4.3,0,1,0,1,1,1,1
88,Dreams Palm Beach Resort,Goa,Room Service|Internet Access,India,15.54499213,73.75765989,6,Hotel,15,Super Deluxe Room,3.5,Goa,1,2,3.4,0,0,1,0,1,0,0
89,Dreamz Hotel,Thiruvananthapuram,Room Service|Internet Access,India,8.488479065,76.95425024,6,Hotel,20,Deluxe Room,3.5,Kerala,1,2,3.7,0,0,1,0,1,0,0
90,E Hotel,Chennai,Room Service|Internet Access|Gym/Spa|Restaurant|Free Internet,India,13.05855051,80.26302477,29,Hotel,45,Elegance Room,4.5,Tamil Nadu,0,4,4.4,1,1,1,1,1,1,0
91,Eagle Resort,Srinagar,Restaurant,India,34.11555862,74.88352966,6,Resort,17,Deluxe Room,3.1,Jammu and Kashmir,1,1,3.1,0,0,0,1,0,0,0
92,Ebony Boutique Hotel,Hyderabad,Room Service|Internet Access|Gym/Spa|Restaurant,India,17.4254869,78.4232304,2,Hotel,9,Deluxe Room,4.2,Andhra Pradesh,0,1,4.4,0,1,1,1,1,1,0
93,Executel Begumpet,Hyderabad,Room Service|Restaurant|Free Internet,India,17.4369108,78.45833493,13,Service Apartment,28,Premium Room,3.4,Andhra Pradesh,1,2,2.8,1,0,0,1,1,0,0
94,FabHotel Anjuna Beachfront,Goa,Room Service|Internet Access,India,15.57509422,73.74112701,2,Resort,27,Deluxe Room with free Wifi,3.1,Goa,1,3,3.9,0,0,1,0,1,0,0
95,FabHotel Majestica Inn Hitec City,Hyderabad,Room Service|Internet Access|Restaurant,India,17.46067821,78.36636925,3,Hotel,60,Deluxe Room with free Wifi,4.1,Andhra Pradesh,1,3,4.1,0,0,1,1,1,0,0
96,FabHotel Shivajinagar,Pune,Room Service|Internet Access|Restaurant,India,18.52307531,73.84906655,16,Hotel,40,Deluxe Room,4.1,Maharashtra,1,3,3.7,0,0,1,1,1,0,0
97,Flowers Guest House,Goa,Room Service|Restaurant,India,15.540995,73.7843966,3,Guest House,5,AC Double Room,3.8,Goa,0,1,3.8,0,0,0,1,1,0,0
98,Fort Bridge View Homestay,Cochin,Internet Access,India,9.9312328,76.2673041,3,Homestay,8,Deluxe Room,4,Kerala,1,1,4,0,0,1,0,0,0,0
99,Fortune Hotel The South Park,Thiruvananthapuram,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,8.500943272,76.94979186,2,Hotel,74,Standard Deluxe Room,4,Kerala,1,4,3.8,0,1,1,1,1,1,1
100,Fragrant Nature Munnar,Munnar,Room Service,India,10.05466,77.0664266,5,Hotel,12,Tropic Green Room,5,Kerala,1,5,5,0,0,0,0,1,0,0
101,Hotel Pacific,Gondia,Room Service,India,21.4600405,80.1942787,1,Hotel,15,Executive AC,4.9,Maharashtra,1,1,4.9,0,0,0,0,1,0,0
102,Hotel Padma Krishna,Pune,Room Service,India,18.5225965,73.86389807,6,Hotel,21,Deluxe Room (non AC),2.9,Maharashtra,1,1,3.5,0,0,0,0,1,0,0
103,Hotel Padmam,Madurai,Room Service|Internet Access|Restaurant|Free Internet,India,9.917580232,78.1137183,4,Hotel,18,Standard Non AC Room,3.6,Tamil Nadu,0,2,3.7,1,0,1,1,1,0,0
104,Hotel Padmini Palace,Dehradun,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,30.18446399,78.16817744,2,Hotel,12,Deluxe Room,4.1,Uttarakhand,1,3,3.4,1,1,1,1,1,1,1
105,Hotel Padmini Palace,Udaipur,Room Service|Internet Access|Restaurant,India,24.57646311,73.69524803,16,Hotel,21,Standard Room,4.4,Rajasthan,1,2,4,0,0,1,1,1,0,0
106,Hotel Padmini,Chittorgarh,Room Service|Restaurant|Free Internet,India,24.90405164,74.62288756,2,Hotel,15,Deluxe Room,3.4,Rajasthan,1,1,2.3,1,0,0,1,1,0,0
107,Hotel Palace Inn,Agartala,Room Service|Internet Access,India,23.8368023,91.2830851,4,Hotel,12,Deluxe AC Room,4,Tripura,1,2,4,0,0,1,0,1,0,0
108,Hotel Pallav,Rajkot,Room Service,India,22.2874646,70.7767544,8,Hotel,26,Deluxe Room,4.5,Gujarat,1,1,4.6,0,0,0,0,1,0,0
109,Hotel Pallava Dynasty,Mahabalipuram,Room Service,India,12.6194085,80.194441,3,Hotel,5,Garden View Room,3.7,Tamil Nadu,1,2,3.7,0,0,0,0,1,0,0
110,Hotel Pannadhay Palace,Udaipur,Restaurant,India,24.5772967,73.6815602,11,Hotel,4,Standard Room,3.1,Rajasthan,1,1,3.1,0,0,0,1,0,0,0
111,Hotel Paradise Continental,Jaipur,Room Service,India,26.950124,75.771581,3,Hotel,22,Semi Deluxe Room,2.8,Rajasthan,1,1,4,0,0,0,0,1,0,0
112,Hotel Paradise Residency,Ujjain,Room Service|Internet Access|Free Internet,India,23.17610219,75.77250736,5,Hotel,12,Standard Double Bed Room,1.7,Madhya Pradesh,1,1,1.7,1,0,1,0,1,0,0
113,Hotel Paradise,Indore,Room Service|Internet Access|Restaurant|Free Internet,India,22.7540003,75.8995606,2,Hotel,39,A/C Deluxe Green,3.1,Madhya Pradesh,0,3,3.7,1,0,1,1,1,0,0
114,Hotel Paradise,Manali,Restaurant,India,32.2396325,77.1887145,12,Hotel,18,Honeymoon Suite,3.7,Himachal Pradesh,0,3,3.1,0,0,0,1,0,0,0
115,Hotel Paradise,Srinagar,Room Service,India,34.0815124,74.8311931,6,Hotel,53,Super Deluxe Room,3,Jammu and Kashmir,1,2,3,0,0,0,0,1,0,0
116,Hotel Paras,Chandigarh,Room Service,India,30.7333148,76.7794179,0,Hotel,12,AC Room,1.9,Punjab,1,3,1.9,0,0,0,0,1,0,0
117,Hotel Park Inn,Varanasi,Room Service|Internet Access|Restaurant|Free Internet,India,25.2948299,82.9718443,8,Hotel,17,Superior Room,3.8,Uttar Pradesh,1,2,3.8,1,0,1,1,1,0,0
118,Hotel Park Palace,Ajmer,Room Service|Internet Access|Restaurant,India,26.46501341,74.62985485,0,Hotel,24,Standard Room,4.1,Rajasthan,1,2,3.1,0,0,1,1,1,0,0
119,Hotel Park Shree,Satna,Room Service|Internet Access|Restaurant|Free Internet,India,24.57117892,80.84775519,2,Hotel,15,Deluxe Room,4.6,Madhya Pradesh,1,3,4.6,1,0,1,1,1,0,0
120,Hotel Parth Executive,Latur,Room Service,India,18.4087934,76.5603828,2,Hotel,33,Non AC Room,2.8,Maharashtra,1,1,2.1,0,0,0,0,1,0,0
121,Hotel Parth Inn,Goa,Room Service|Restaurant,India,15.545111,73.77285192,8,Hotel,11,Standard Room,3.4,Goa,0,1,3.4,0,0,0,1,1,0,0
122,Hotel Parth,Haridwar,Room Service,India,29.91722213,78.09831005,5,Hotel,12,Double Bed Non AC Room,3.5,Uttarakhand,1,1,3.5,0,0,0,0,1,0,0
123,Hotel Pasuparthy Residency,Tirupati,Room Service|Internet Access|Free Internet,India,13.62941602,79.42389496,5,Hotel,32,Standard AC Room,4,Andhra Pradesh,1,1,4.6,1,0,1,0,1,0,0
124,Hotel Pathik,Dehradun,Room Service,India,30.3164945,78.0321918,2,Hotel,16,Standard Room,4,Uttarakhand,1,1,4,0,0,0,0,1,0,0
125,Hotel Pathika,Jalgaon,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,21.0167633,75.5635054,5,Hotel,13,Non AC Room,3.7,Maharashtra,1,1,4.1,0,1,1,1,1,1,1
126,Hotel Patliputra Exotica,Patna,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,25.61165883,85.1426855,6,Hotel,120,Standard Room,3.7,Bihar,1,4,4,1,1,1,1,1,1,1
127,Hotel Patliputra Nirvana,Patna,Room Service|Restaurant|Free Internet,India,25.6060801,85.1372679,8,Hotel,108,Standard Room,3.6,Bihar,1,3,3.7,1,0,0,1,1,0,0
128,Hotel Peace,Ahmedabad,Room Service,India,23.01649284,72.57592773,14,Hotel,24,AC Room,4,Gujarat,1,1,4,0,0,0,0,1,0,0
129,Hotel Peak View,Mussoorie,Room Service,India,30.46178279,78.07118965,0,Hotel,19,Deluxe Room,2.8,Uttarakhand,1,1,2.9,0,0,0,0,1,0,0
130,Hotel Pearls,Aurangabad,Room Service|Internet Access|Restaurant|Free Internet,India,19.88050248,75.3233542,6,Hotel,21,Executive Room,4.3,Maharashtra,1,3,4.8,1,0,1,1,1,0,0
131,Hotel Pentas,Agra,Room Service|Internet Access|Restaurant|Free Internet,India,27.17222,78.0091033,18,Hotel,20,Super Deluxe Room,4.3,Uttar Pradesh,1,1,4.3,1,0,1,1,1,0,0
132,Hotel Perfect Residency,Kolhapur,Room Service,India,16.7059815,74.2580518,0,Hotel,10,Standard Room Non AC Room,2.1,Maharashtra,1,1,2.1,0,0,0,0,1,0,0
133,Hotel Pink Pearl,Raigarh,Room Service|Internet Access|Gym/Spa|Restaurant|Free Internet,India,21.91384466,83.38326943,1,Hotel,31,Deluxe Room,4.6,Chhattisgarh,0,1,4.6,1,1,1,1,1,1,0
134,Hotel Pleasant Stay - La Flora,Kodaikanal,Room Service|Restaurant,India,10.2360906,77.494242,11,Hotel,43,Superior Room,3.8,Tamil Nadu,0,3,3.6,0,0,0,1,1,0,0
135,Hotel Poddar Regency,Dhanbad,Room Service|Internet Access|Free Internet,India,23.7956531,86.4303859,2,Hotel,20,Super Deluxe Room,3.8,Jharkhand,1,2,4.6,1,0,1,0,1,0,0
136,Hotel Pooja Residency,Satara,Room Service,India,17.68762592,74.00216991,2,Hotel,10,Executive AC Room,3.6,Maharashtra,1,1,3.6,0,0,0,0,1,0,0
137,Hotel Poshwan,Gulmarg,Room Service,India,34.05502903,74.4009448,3,Hotel,10,Standard Room,3.6,Jammu and Kashmir,1,1,3.8,0,0,0,0,1,0,0
138,Hotel Praniv Plaza,Dindigul,Room Service|Restaurant|Free Internet,India,10.365944,77.976775,2,Hotel,10,Standard Room,3.8,Tamil Nadu,0,1,3.8,1,0,0,1,1,0,0
139,Hotel Prasad,Ratnagiri,Room Service,India,16.990215,73.3120233,3,Hotel,16,Deluxe Room,4.3,Maharashtra,1,1,4.3,0,0,0,0,1,0,0
140,Hotel Prasanti,Angul,Room Service,India,20.8441427,85.1207061,1,Hotel,90,Deluxe Room,4.7,Orissa,0,1,4.7,0,0,0,0,1,0,0
141,Hotel Prashant Palace,Agra,Internet Access|Restaurant,India,27.15877616,78.05650354,4,Hotel,23,Standard Room,3.5,Uttar Pradesh,0,3,3.5,0,0,1,1,0,0,0
142,Hotel Prashant,Kausani,Room Service|Restaurant,India,29.84429446,79.60128162,6,Hotel,21,Ordinary Room,4.6,Uttarakhand,0,1,3.7,0,0,0,1,1,0,0
143,Hotel Pratap Palace,Varanasi,Room Service|Internet Access|Restaurant|Free Internet,India,25.3176452,82.9739144,2,Hotel,46,Executive Room,3.4,Uttar Pradesh,1,1,3.2,1,0,1,1,1,0,0
144,Hotel Pratham Sai,Shirdi,Room Service|Free Internet,India,19.77,74.48,10,Hotel,38,Deluxe Double Bed AC Room,4.2,Maharashtra,1,1,4.2,1,0,0,0,1,0,0
145,Hotel Pratiksha,Moradabad,Room Service|Internet Access|Free Internet,India,28.8365927,78.7674363,0,Hotel,32,Non AC Room,3.9,Uttar Pradesh,1,2,4.4,1,0,1,0,1,0,0
146,Hotel Preet,Manali,Internet Access,India,32.22421265,77.19005585,10,Hotel,69,Family Suite Room,4,Himachal Pradesh,0,1,4,0,0,1,0,0,0,0
147,Hotel Preetam,Aurangabad,Room Service|Internet Access|Restaurant|Free Internet,India,19.86072726,75.31110818,12,Hotel,24,Standard Non AC Room,4,Maharashtra,0,2,4,1,0,1,1,1,0,0
148,Hotel Premdeep International,Kashipur,Room Service,India,23.6083987,90.4775171,1,Hotel,10,AC Room,1,Uttarakhand,1,1,1,0,0,0,0,1,0,0
149,Hotel Presidency,Bangalore,Room Service|Internet Access|Gym/Spa|Restaurant,India,13.1933585,77.6455922,11,Hotel,29,Deluxe Room,3.7,Karnataka,1,3,4.1,0,1,1,1,1,1,0
150,Hotel President,Chandigarh,Room Service|Internet Access|Gym/Spa,India,30.7275172,76.80404761,8,Hotel,16,Super Deluxe Room,3.6,Punjab,1,3,2.9,0,1,1,0,1,1,0
151,Hotel President,Dalhousie,Room Service|Restaurant,India,32.530628,75.9731073,14,Hotel,51,Deluxe Room,3.6,Himachal Pradesh,0,2,3.6,0,0,0,1,1,0,0
152,Hotel President,Indore,Room Service|Internet Access|Restaurant|Free Internet,India,22.71469644,75.87401456,17,Hotel,51,Executive Deluxe Room,3.9,Madhya Pradesh,1,3,3.9,1,0,1,1,1,0,0
153,Hotel President,Porbandar,Room Service,India,21.6383162,69.61248282,4,Hotel,17,Non AC Room,2.9,Gujarat,1,2,4.5,0,0,0,0,1,0,0
154,Hotel President,Saharanpur,Room Service,India,29.9706573,77.5417509,6,Hotel,28,Deluxe Room,4.3,Uttar Pradesh,1,1,4.3,0,0,0,0,1,0,0
155,Hotel Prince Gardens,Coimbatore,Room Service|Internet Access|Restaurant|Free Internet,India,11.01261946,76.96628925,12,Hotel,54,Prince Grand,4.3,Tamil Nadu,1,3,4.5,1,0,1,1,1,0,0
156,Hotel Prince,Bhuj,Room Service|Restaurant|Free Internet,India,23.2564812,69.6762411,6,Hotel,44,Deluxe Room,4,Gujarat,0,1,4,1,0,0,1,1,0,0
